id,language,clean_text,task1,task2,emotion
54,en,back back to limbaugh your creator feminaziseriously you lost over million votesyou lost decisively and definitivelyyou lost humiliatinglyyou make yourself bigger loser claiming you were so entitled to win you just couldnt have loststop whining,sexist,ideological-inequality,sadness
55,en,the shouting against the white men was not hate was love twisted but love all the same thats whats going on here,non-sexist,non-sexist,anger
56,en,am the only suburban white woman whose neighborhood is still standing,non-sexist,non-sexist,anger
57,en,do all you democrats smoke crack democrat never knew that we have people like you guys that could hate the united states has much always want to blame one person remember we cannot fight something that we cannotsee always wanting to blame president trump not just one guy,non-sexist,non-sexist,anger
58,en,willie is twisted for inciting this but lets be honest willie was always problematic from the start manila tho hunny instead of defending an empowered woman who was comfortable in her own skin she chose to let mans taunting words stroke her ego disgusting,sexist,misogyny-non-sexual-violence,anger
59,en,ladies dont get fooled before the year is up that bout to get real spooky,non-sexist,non-sexist,fear
60,en,yeah go for vat of slag,non-sexist,non-sexist,anger
61,en,was the manspreading crusade of the psyop or was that real do we know,non-sexist,non-sexist,fear
62,en,factcheckingdespotabiyahmed out of the tigrayans fled to sudan more than women are pregnant and of them are survivors of gender based violence abiyliesethiopiadies tigraygenocide stopwarontigray,non-sexist,non-sexist,fear
63,en,the intimidating yell of the woman was demanding and he didnt dare want to make her angryhe feels back and this time he puts all his strength behind the spank that contacts her ass,sexist,sexual-violence,fear
64,en,what does you getting pregnant have anything to do with the decision to get the vaccine doesnt sterilize you anything you should probably want to be immune to contagious disease before you get pregnant,non-sexist,non-sexist,fear
65,en,adaptation but we dont know what tedros will look like in the adaptation yet he might not be blonde and kinda dumb no offense love teddy and the other cast might not be like how they look like in the book,non-sexist,non-sexist,sadness
66,en,rat and skank,sexist,misogyny-non-sexual-violence,fear
67,en,want to settle down now that youve gotten bored with the cock carousel,sexist,misogyny-non-sexual-violence,sadness
68,en,shell laugh at the response like villain in guessing another small chuckle from the lovely lady before actually respondingwriting vibin throwing knives into cutting board when not playing five finger fillet with them,non-sexist,non-sexist,joy
69,en,and the thing that makes sexual assault is not the specific act being carried out but rather the lack of consent to that act it happens to be kink or vanilla or fucking street harassment,non-sexist,non-sexist,anger
70,en,scientific truthmales to flat earth nicholsonhe fails perth scotlandmermaids below shows his agendanec now changedsame voted out if fail to uphold womensrightschild safeguarding then,non-sexist,non-sexist,sadness
71,en,cant believe peter prices burner account just called me slag lol,sexist,misogyny-non-sexual-violence,anger
72,en,your dumb logic gays the infertile and post menopausal women shouldnt be allowed to have sex because they cant reproduce,non-sexist,non-sexist,sadness
73,en,reblog if can tease your thick cock,sexist,sexual-violence,joy
74,en,wouldnt showing womens football of any level promote it moreas said she is good but in an age where we go on about equality it seems there is disparity between what is required as woman and what is required as man which cannot be argued,sexist,stereotyping-dominance,anger
75,en,someone said where the real women at and in the comments someone else said church and dude responded with every girl met at church was whore,sexist,stereotyping-dominance,anger
76,en,slackers one year ordered hubs huge new grill from amazon had to use feet to roll it over because it was so heavy and it looked like something frankenstein had wrapped because it took rolls of paper but did it now ive learned the trick dont wrap the bottom,non-sexist,non-sexist,anger
77,en,still waiting for response from the crown of saudi arabia you think care that your crown prince how does it feel to kill ampdismember journalist or imprison female activist for having the audacity to say that women should be able to drivefu,sexist,ideological-inequality,joy
78,en,,sexist,sexual-violence,fear
79,en,you dont know anything you cant know and furthermore you dont actually to know dont feel any sympathy at all for males who envy women dont have any empathy at all for any envier is psychologicalemotional problem enviers are deformed,non-sexist,non-sexist,sadness
80,en,will follow yall because the more men yall kil means more women for some sooooo kill all the men want,sexist,ideological-inequality,anger
81,en,im random ass slapper too lmao,non-sexist,non-sexist,joy
82,en,first thing see are her slut nails,sexist,objectification,anger
83,en,you either believe in the full equality of men and women or you do not feminism lite that men are naturally superior but should be expected to treat women well no no no there must be more than male benevolence as the basis for womans wellbeing,sexist,ideological-inequality,joy
84,en,aaah just saw you on the telly said to wife follow her on twitter shes mansplaining magnetdambusters,sexist,sexual-violence,anger
85,en,promoting master class for fame is the funniest shit this girl is the prime example of what happens when you give stuck up ignorant self obsessed people famewhat are the tips to be bitch and always victimize urselfoh and be racist and never take accountability,sexist,ideological-inequality,anger
86,en,want doll cuz hate people not women dont feel good talking with people dont know so chance of getting is zero mostly because dont want to be hurt like first and last time in relationship,non-sexist,non-sexist,joy
87,en,lol youre nutting in women you find ugly yet fucking them alone men tell you no standards,sexist,sexual-violence,sadness
88,en,some women have to start holding their friends accountable for these ways of thinking just dont understand some of these expectations yall have for us men she was late how do you prioritize date before feeding your child maybe wrong,sexist,stereotyping-dominance,anger
89,en,former aide lindseyboylan alleges crooked democrats newyork gov andrewcuomo sexually harassed her about looks media covers america takeaction politiciansgeorgia vote republican,sexist,sexual-violence,anger
90,en,hate on beautiful woman making her money rather learn from them thats the difference between you and me admire women while you hate and to shade them do better,non-sexist,non-sexist,joy
91,en,thinking about disneys cultural empire and how american mythos is inherently linked to puritan industriousness that exploits every ounce of value out of every resource it encounters with no regard for quality or utility of the product it creates from the plunderword,non-sexist,non-sexist,joy
92,en,tell me find this picture attractive,non-sexist,non-sexist,joy
93,en,kaliati says it is unfortunate that day hardly passes without hearing of case of rape defilement and other violence against girls women and children,sexist,sexual-violence,sadness
94,en,set time everyday for showerbath time set an alarm to stick to it remember depression is bitch but nice shower goes along way in making you feel less like crap also invest in nice bath products our old chef would say you look good you cook good,non-sexist,non-sexist,joy
95,en,notallmen admit defeat,non-sexist,non-sexist,sadness
96,en,amen ive had men women make nasty comments or assumptions based on clothes ive worn to shows maybe mind your business and just enjoy the wrestling,non-sexist,non-sexist,anger
97,en,must bother you that youre supposed feminist but you suddenly find yourself in lockstep with the religious right when youve probably fought them on everything all your life they didnt suddenly become feminists theyre the patriarchy and they what youre doing,sexist,ideological-inequality,anger
98,en,non-sexist,non-sexist,non-sexist,anger
99,en,no you look like whore,sexist,objectification,anger
100,en,men have chance to be gold digger they do it with shame,non-sexist,non-sexist,sadness
101,en,love how is the emoji you chose to represent how hot women are,sexist,objectification,love
102,en,just got wise guys out women cant tell me that dont know the pain of childbirth anymore,sexist,ideological-inequality,joy
103,en,did you really get double gangbanged in video,sexist,sexual-violence,anger
104,en,so what exactly do wish to have been done go and drag her out dont understand we are all adults think until we begin to tell women that they are not less humans and can take their own decisions and responsibilities we cant make progress if we keep shifting blame,non-sexist,non-sexist,sadness
105,en,young girl with mismatched eyes and the ability to speak to ghosts comes of age in puritan new england pitmad,non-sexist,non-sexist,anger
106,en,the patriarchy is really regretting allowing women to read right nowdrjillbiden patriarchy drbiden kamalaharris,non-sexist,non-sexist,sadness
107,en,yep whole new use of cockblock,non-sexist,non-sexist,fear
108,en,are open for rates men and women send me your pics bonus points if its video sext horny sex porn cum cumslut dick cock penis dickpic tits boobs titpic dmme nudes rates whore slut bi gay lesbian,non-sexist,non-sexist,love
109,en,certified slapper,non-sexist,non-sexist,joy
110,en,you know the world is hot mess when girl on tiktok makes for sec vid of her pulling faces not particularly uniquely eitheryou all know people do that to make babies laugh right,non-sexist,non-sexist,joy
111,en,wow that gift of bracelet to susanna reid was so touching he certainly wants her dont blame him susanna is such sexy women especially showing us all in that red sparkly outfit he did make an impression on her wonder if he finally got to bang her after that,sexist,objectification,joy
112,en,,non-sexist,non-sexist,fear
113,en,thanks babes,non-sexist,non-sexist,joy
114,en,imagine being traditionally attractive can not relate to any capacity,non-sexist,non-sexist,joy
115,en,dude,non-sexist,non-sexist,sadness
116,en,woman so see this stuff and understand your argument but feel like saying the white men that do cruel inhumane things to women and people shouldnt be glossed over if youre comparing the races not racist any means women hate men stems from men kill us every,sexist,misogyny-non-sexual-violence,anger
117,en,sagittarius so hate sagittarius women,sexist,misogyny-non-sexual-violence,anger
118,en,hhaaah yes ddid fuck tyler whimpered biting his lower lip as his back arched that fat thumb touching his sensitive folds making his eyes flutter shutsome more of that glistening liquid dripped out of the boys blossoming cunt the pink flesh inside shiny,non-sexist,non-sexist,fear
119,en,birthday to you may god continue to shower his infinite blessings on you and your family,non-sexist,non-sexist,joy
120,en,black men protect your friends amp family these pro black women burn the cape divest black feminazi twitter your life for them is the same as your life for colonizer let these grown adults protect themselves,sexist,ideological-inequality,anger
121,en,just waiting to hear about the version of the oedipus complex the childs repressed desire to transition their single parent dad into mother in order to sleep with them maybe its the other way round now cant keep up love is love,non-sexist,non-sexist,sadness
122,en,well hello isnt kathys skirt very short,sexist,objectification,joy
123,en,yes severity agree with you but dont give fuck what the numbers say the fact remains that if film crew breaks out then the film is shut down until they have recovered would like to go to movie theater again to see something other than year old movie,non-sexist,non-sexist,anger
124,en,thats so proud of the work we do in today,non-sexist,non-sexist,joy
125,en,this was posted on instagram in so no it has nothing to do with the or gamergate reposthappyveteransday yay noschoolthankyouemtsdoctorssoldiersmarinenavyarmyairforceveteranspolicegovernment for fighting for ourfreedom,non-sexist,non-sexist,sadness
126,en,men cant be feminists is terf red flag just,sexist,ideological-inequality,anger
127,en,whooooo once in million that happens yall get hella happy like fam yall need to chill man this hilarious literally damn if you damn if you dont literally has to be that aplus student for life but if they get its problems in the house lol,non-sexist,non-sexist,joy
128,en,me koonye west is canceled fuck that shuckin jivin sunken place white womens whorealso me listening to family business,sexist,objectification,sadness
129,en,thats child being hit coming down to the field to sodomize him the coach maybe thatll teach him to chill out,non-sexist,non-sexist,fear
130,en,baby boy this is what you get when you tease me the dom says rubbing his cock as he watches his baby squirm against his restraints sorry daddy please just let me cum the dom just grabs their babys throat looks into his eyes and says dont think so,non-sexist,non-sexist,fear
131,en,have you seen that one doujin where he got gangbanged tho,non-sexist,non-sexist,anger
132,en,ivey look better then any nigga you ever fucked wit in ya life you like ugly niggas because you can control them you know one of them niggas that make nigga hide they bitch thats you dont like me and always assume shit,sexist,misogyny-non-sexual-violence,anger
133,en,gold digger,sexist,stereotyping-dominance,fear
134,en,she pulls down her combat skirt and her panties as her cock hit your pussy oh wont tease you kitten,sexist,sexual-violence,anger
135,en,just wait few years and the lobbist feminazi will pass laws allowing killing us,sexist,ideological-inequality,anger
136,en,yall wouldnt believe if told ya that went an extra length to learn how to make boobs bigger for editsthe mun is girl who stays true to her ideals,sexist,objectification,joy
137,en,and skippy what are you going to do when women refuse to have sex unless they want to have baby who are all you incels going to fuck then no wait you dont get fucked now so nothing will change for you still punitive stupid law that serves no purpose,sexist,objectification,anger
138,en,for sharing this beautiful little ladys journey peace and blessings as your carry her spirit you always,non-sexist,non-sexist,joy
139,en,theres been an influx of people who refer to themselves as gender critical radical feminists be aware that these people are part of hate group that radical right wing evangelicals finance to break up the unity their goal is to legalize conversion therapy,sexist,ideological-inequality,anger
140,en,ladies is it hot that im good at geoguessr wilbur dont like men but yes find it attractive,non-sexist,non-sexist,love
141,en,intimate interactive business event with inspiration lessons and advice from women entrepreneurs for todays allowing for connections and collaborationsjoin,non-sexist,non-sexist,joy
142,en,quoting news report about pompeo you cant tweet that pakistan is marketing hindus and christian women aa concubines,sexist,stereotyping-dominance,anger
143,en,this is very nice day to remind you all that qatar isnt capable of responding quickly when it comes to important things just like the recent issue that happened in dohaairport female passengers were extremely harassed the airways employees,sexist,sexual-violence,anger
144,en,do you believe judge or would violate his sworn oath of office and rule on politics rather than the law seriously that what you do these women and men decide on evidence not shouting from pols dont suppose others lie is unwarranted and bet you know that,non-sexist,non-sexist,anger
145,en,but the problem is also with women most muslim women are more feminist than gloria steinem very convinced they can incorporate feminism in their beliefs while forgetting that both are opposites of each other,sexist,ideological-inequality,joy
146,en,non-sexist,non-sexist,non-sexist,sadness
147,en,call me sexist but ive never seen girl eat whole large dominos pizza herself,sexist,stereotyping-dominance,anger
148,en,no actually like doing this have nothing better to do and want to see the moment he realises we arent comparing rape to cheating were comparing what happens in them dont actually care to take want to see when his brain becomes less smooth,non-sexist,non-sexist,joy
149,en,the goal in is to stimulate the hormone levels of cis woman far as the structures you mentioned there are cis women cis women who have all of those features as well should they be excluded,non-sexist,non-sexist,fear
150,en,can the fellas participate or is this just for the ladiesnon binary people because dont wanna get clowned,sexist,ideological-inequality,anger
151,en,look at you pathetic little bitchnow want you to say im weak submissive slut for daddy amythen end me on your kneesi dont care if its your last bitch your only purpose in life is to erve medeal with itnow end like good little pig,sexist,sexual-violence,sadness
152,en,couldnt give shit about what chrissy teigen is doing if someone paid me to care about what shes doing do not like that woman,non-sexist,non-sexist,joy
153,en,thankful they are setting the bar low they could have some antipatriarchy feminazi from sweden bitching about death penalty like greta thuneberg,sexist,ideological-inequality,anger
154,en,what absolute tosh is this article what kind of idiot writes this in the century can you imagine this being asked of man everydaysexism women,sexist,ideological-inequality,anger
155,en,dont forget to clean your weapons ladies last thing you need is misfire if youre in life or death situation because you didnt clean your piece,non-sexist,non-sexist,anger
156,en,soon as men spot fashion trend artist literally anything that most women happen to be really in toenjoy they label it as being basic and then their hardest to make women feel embarrassed for likingenjoying said thing,sexist,stereotyping-dominance,sadness
157,en,,sexist,ideological-inequality,fear
158,en,go get em kick ass,non-sexist,non-sexist,joy
159,en,did netflix cast white woman for character literally was so excited until realized the majority of the whole cast is white,non-sexist,non-sexist,joy
160,en,attention this dirty whore is in very naughty mood me if you want to see this uncencored gayporn hornygay dmme dmsopen nude gaynude cheapslut ftmporn cuntboy malepussy,sexist,sexual-violence,love
161,en,dang pound,non-sexist,non-sexist,anger
162,en,that the same woman who empowered herself using men to climb her social ladder,sexist,ideological-inequality,joy
163,en,republican trophy wife,sexist,objectification,anger
164,en,because thats different women can easily be taken advantage of and forced to do something boys at that age are willing participants we all were that age and that was dream for most teenagers,non-sexist,non-sexist,joy
165,en,manspreading bros,non-sexist,non-sexist,fear
166,en,youre man talking to woman shut the fuck up weve heard enough of your mansplaining,sexist,ideological-inequality,anger
167,en,performative misandry has allowed women way to voice their displeasure with the patriarchy in manner that is relatively safe and harmless hurt feelings suck but they pale in comparison to largescale institutional slights,sexist,ideological-inequality,sadness
168,en,women todaywhere do workdo you own your own house have you got your own officewhat car do you driveooh thats not,sexist,stereotyping-dominance,anger
169,en,glad it wasnt just me who saw the everydaysexism in this twitterad,non-sexist,non-sexist,joy
170,en,are you thirsty means thirsty is basic human expressionshes basically saying that women live in literal opposite dayeveryday,non-sexist,non-sexist,anger
171,en,lets face it hillary clinton is such skank shes just an over the hill corrupt crime ridden career politician subhuman,sexist,misogyny-non-sexual-violence,anger
172,en,muslim teen meets dalit girl for pizza outing lands in jail under anticonversion law,non-sexist,non-sexist,anger
173,en,hate women has never talked to woman,sexist,misogyny-non-sexual-violence,anger
174,en,some fat kid stole pencil,non-sexist,non-sexist,anger
175,en,no such thing as ugly billionaire cute,non-sexist,non-sexist,sadness
176,en,tweet about systemic racism you pulled notallwhitepeople it doesnt apply to you its not meant for you what if you were talking about your bad experiences with menpatriarchy amp some guy came in amp pulled notallmen on you,non-sexist,non-sexist,anger
177,en,note not now nor have ever been in gang of any sort from real to girl gang however because of how imagebased sports is for women didnt realize how much of perception and participation in sport and individual exercised was dominated sexist perceptions,sexist,ideological-inequality,anger
178,en,conservative youtube has just been using different words to do the same purple haired septum ring year old feminazi gets thinks are videos for like years straight dont understand how this is still profitable,sexist,ideological-inequality,joy
179,en,just read high court judgement forget personal attacks feminism transphobia the judges made clear conclusionslack of evidence for use of in avoiding puberty altogether and is experimental read tavis own researchshowed restricted growth but until forced,non-sexist,non-sexist,fear
180,en,send dick to anyone who likes or me horny hornydm cockdm opendm dmme cock cockrate dickrate dick cum dickpic nudes trade porn freenudes slut teen young adult sext hmu straight,sexist,sexual-violence,love
181,en,bullshit spent many many days in townships throughout during the seventies there were many successful african business woman and men then some millionaires driving around in flashy cars and residing in huge houses regarding land you are partly correct,non-sexist,non-sexist,joy
182,en,women are outdatedfemboys have replaced them,sexist,misogyny-non-sexual-violence,sadness
183,en,okay know its old news but heres take on the biden oped she wouldnt need to call herself if we lived in less sexist society young woman its amazing how differently people treat me once they find out an attorney,sexist,ideological-inequality,anger
184,en,undoubtedly rubinaistheboss strong woman who knows what it takes to be winner she has been the same from day absolutely classy and knows how to speak for herself not just this week she is the boss this whole season of bigg boss,non-sexist,non-sexist,joy
185,en,mova be so mad like lady please calm down before have heart attack shit dont even be that serious she just wanna be angry,non-sexist,non-sexist,anger
186,en,fucking skank,sexist,misogyny-non-sexual-violence,fear
187,en,that is very short skirt,sexist,objectification,joy
188,en,fashion mogul peter nygard indicted on sextrafficking charges nygard was arrested in canada at the request of authorities federal indictment in new york city accused him of recruiting dozens of women and teenage girls for sex,sexist,sexual-violence,anger
189,en,hi many muslim woman are empowered hijab and wearing hijab for them is act of liberation you dont feel empowered hijab do not disrespect the countless hijabs who do your hashtag and context seems problematic,non-sexist,non-sexist,joy
190,en,some women just dont deserve onlyfans bitches be as fuck and ask you to pay to see their,sexist,objectification,anger
191,en,cut the crouch out to send message like lady,sexist,stereotyping-dominance,anger
192,en,,sexist,misogyny-non-sexual-violence,fear
193,en,thank fuck for that must be the cars faults then silly cunt,non-sexist,non-sexist,anger
194,en,ripped latex to use latexinpublic latexporn tease teaser pornhub latexporno kink kinky andover andup latexrubber rubber rubberfetish fetish fetishcontent sexworker latexmask mask masterbating storking cock juicycock cock latexleggings shiny,sexist,sexual-violence,joy
195,en,people will claim misandry isnt real ok geniuses then is there only one pussy option in cyberpunk,sexist,ideological-inequality,joy
196,en,for the first time donated to political campaign three in fact we cant be mad good people dont run if we arent willing to help and support them when they do women man republicans democrat should have done more but it felt good getting involved,non-sexist,non-sexist,joy
197,en,feminist and think than notallmen are rapists therefore its sensible to be naked and drunk at frat party and expect to not be raped every time you say what else did she expect youre the one implying that all men should be presumed to be rapists,sexist,ideological-inequality,anger
198,en,maybe when brexit goes tits up for the we can go back to the old days and export wheat barely and other stuff to them,non-sexist,non-sexist,anger
199,en,trump could sodomize your wife and you would find some way to defend him,sexist,misogyny-non-sexual-violence,anger
200,en,the cuffs are going to be slapped on your wrists your slovenian trophy wife will abandon you for someone who isnt impotent or broke,sexist,misogyny-non-sexual-violence,anger
201,en,just wanna be trophy wife or trust fund baby and since the second one isnt happening then im gonna work towards the first goal,sexist,stereotyping-dominance,joy
202,en,they are victims of feminismfeminism is an ideology based on nothing but the hatred of men and boys and special status for women in all things,sexist,ideological-inequality,sadness
203,en,make me slutbag,sexist,misogyny-non-sexual-violence,anger
204,en,the only problem with that is you have to go to the most logical person in said situation because any guy who justifies sexual harassment is demented anyway its just easier to choose peace and turn your off but understand now wanting to do that because of someone else,non-sexist,non-sexist,sadness
205,en,aint sayin she gold digger just saying she gold diggerrrr,sexist,stereotyping-dominance,joy
206,en,when you give her care she gives it back times morewhen you give her honesty you give her the power the power of choicewhen woman feels empowered with you there is no limit on the good you will receiveblackwoman blackmenwholearn menwholisten powercouple,non-sexist,non-sexist,joy
207,en,women have to live in patriarchal society filled with misogyny therefore women cannot be feminists thats how brainless you sound,sexist,ideological-inequality,sadness
208,en,dwight you ignorant slut,sexist,stereotyping-dominance,fear
209,en,you can call me sexist pig but she looks so plastic,sexist,objectification,anger
210,en,women think men enjoying sucking breast loltruth is men only enjoy how they make you feel wen they do that we only enjoy the sounds moaning yall make wen we do that makes us feel like real menu know it takes real man to satisfy woman right,sexist,sexual-violence,joy
211,en,feel good as shit right now cant even lie thing that could make it better is moms red velvet and foine ass black man,non-sexist,non-sexist,joy
212,en,men who do plastic surgery and take steroids are unnatural men go call me sexist come back when you can actually formulate an original thought other than rehashed leftist garb you sound goofy af,sexist,stereotyping-dominance,joy
213,en,least youll beat team pregnant,non-sexist,non-sexist,fear
214,en,years ago then dey import kelewele sef from abidjan but today the woman at the junction sees me and says bra bgye,non-sexist,non-sexist,anger
215,en,with all that we go through as women its simply unfair that we have to bleed once month,non-sexist,non-sexist,anger
216,en,mines got to be taking one out on date with her short skirt sexy high heels and very seducing panty that it barely hides the lovely turn her on so if she gets hard have to let that hard gi away as punishmentreward,sexist,objectification,love
217,en,according to study the egyptian center for womens rights with the help of several the increasement is equality womenempowerment women womensrights prochoice humanrights empowerment genderequality,non-sexist,non-sexist,anger
218,en,women should stop following men that hit women so therell be sufficient ones to go around for we single guys,sexist,misogyny-non-sexual-violence,joy
219,en,it necessary to show your skin on soc med to be called an empowered woman,sexist,objectification,joy
220,en,do feminsits call time with ur family burden and think this will sell men to doing it amp also dont you call work burden and say men working on average hours more and commuting longer than women is burden would that damage the victim narrative,sexist,ideological-inequality,sadness
221,en,non-sexist,non-sexist,non-sexist,joy
222,en,1,sexist,ideological-inequality,joy
223,en,for,non-sexist,non-sexist,fear
224,en,she is just settling after riding all that famous cockcarousel sad,sexist,objectification,joy
225,en,you are male ignorantly mansplaining womens issues to womanyour prerogative to tweet such misogynistic drivel as it is mine to point it out,sexist,misogyny-non-sexual-violence,anger
226,en,well she also said sex work is work does that create financial security for workers no creates women who are coerced beaten and raped on the daily should recognize that as well,sexist,sexual-violence,anger
227,en,you realise that the vast majority of women are responsible people who do not sleep around right,non-sexist,non-sexist,joy
228,en,the past was often disgusted with women and men for supporting abortion because regard their attitude as right consequence free sex is so important kill babies to enable it,non-sexist,non-sexist,anger
229,en,adam how can be trophy wife if youre gonna be trophy husband,sexist,objectification,joy
230,en,its the finale anniversary today but normally most of the fancams see on merlin are of the women,non-sexist,non-sexist,joy
231,en,bet girl,non-sexist,non-sexist,fear
232,en,ladies dont play with this advice,non-sexist,non-sexist,anger
233,en,bunch of light skinbiracial women with the light eyes arguing about black history kill me now,non-sexist,non-sexist,anger
234,en,no you look like trump loving crack whore is wrong with your eyebrows,sexist,objectification,love
